Portfolio,Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Quantity,Market Value
Fund Two,AMZN,11/16/2020,3093.199951,3189.25,3072.689941,3099.399902,3099.399902,16554900,312.0709121,967232.5542
Fund Two,FB,11/16/2020,275.049988,279.410004,269.190002,269.700012,269.700012,71242000,3511.359136,947013.6012
Fund Two,GOOG,11/16/2020,1771.699951,1799.069946,1737.005005,1742.189941,1742.189941,7130800,609.3845216,1061663.584
Fund Two,JNJ,11/16/2020,150.919998,151.300003,145.589996,146.360001,145.350006,34567700,6932.998641,1007711.394
Fund Two,MRK,11/16/2020,81.230003,81.970001,79.330002,80.449997,79.819664,41167300,12625.54064,1007766.412
Fund Two,NFLX,11/16/2020,480,494.76001,477.299988,488.23999,488.23999,17789000,2048.005247,999918.0614
Fund Two,PFE,11/16/2020,35.920303,37.419998,34.962048,36.700001,36.700001,285379400,27889.98305,1023562.406
Fund Two,PG,11/16/2020,144.779999,144.779999,138.449997,139.300003,138.464813,30481500,7105.054548,983800.0493
Fund Two,TSLA,11/16/2020,408.929993,508.609985,404.089996,489.609985,489.609985,261353500,2377.386273,1163992.058
Fund Two,XOM,11/16/2020,37.59,39.130001,36.560001,36.939999,36.939999,141491300,29980.28347,1107471.641
Fund Two,AMZN,11/23/2020,3116.699951,3216.189941,3065.459961,3195.340088,3195.340088,14494300,312.0709121,997172.6956
Fund Two,FB,11/23/2020,270.890015,280.179993,264.529999,277.809998,277.809998,58196600,3511.359136,975490.6746
Fund Two,GOOG,11/23/2020,1749.599976,1804,1717.719971,1793.189941,1793.189941,5670300,609.3845216,1092742.194
Fund Two,JNJ,11/23/2020,146.009995,146.009995,142.860001,144,143.006287,29006700,6932.998641,991462.3935
Fund Two,MRK,11/23/2020,80.610001,81.160004,79.379997,79.860001,79.234291,32402200,12625.54064,1000375.761
Fund Two,NFLX,11/23/2020,490.459991,493.25,475.839996,491.359985,491.359985,15371500,2048.005247,1006307.827
Fund Two,PFE,11/23/2020,37.029999,37.259998,36.02,37.23,37.23,138391200,27889.98305,1038344.069
Fund Two,PG,11/23/2020,139.320007,139.949997,137.529999,138.610001,137.778946,24535900,7105.054548,978926.9269
